"WorkspaceId","UserName","Region","Status"
"ws-9t3rtx90m","cdaniell","us-east-1","Enabled"
"ws-7hcvtnhl0","mflores25","us-east-1","Enabled"
"ws-k6r4sqv4x","dpaddock","us-east-1","Enabled"
"ws-w9cplr56s","ashuyler","us-east-1","Enabled"
"ws-cpnvp4jtw","amorales26","us-east-1","Enabled"
"ws-c8v87nktc","aharouff","us-east-1","Enabled"
"ws-jhrm8dbfh","sdavis51","us-east-1","Enabled"
"ws-c0y1f3tv7","sscott21","us-east-1","Enabled"
"ws-9scn4hknc","jramos29","us-east-1","Enabled"
"ws-4pszgvy5q","rgordon3","us-east-1","Enabled"
"ws-k4bmxgtnx","cbarrera","us-east-1","Enabled"
"ws-73v2x8fk9","mwideman","us-east-1","Enabled"
